Waktu Gempa (UTC);Lintang;Bujur;Magnitudo;Kedalaman (Km);Wilayah;Status;Detail
03/11/2024 01:48;-8.78;118.34;2.6;10;Sumbawa Region-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vpba
02/11/2024 23:54;0.44;126.60;4.4;37;Northern Molucca Sea;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024voxg
02/11/2024 23:03;-8.12;116.44;3.8;11;Sumbawa Region-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vovo
02/11/2024 22:59;-0.51;122.33;2.2;15;Minahassa Peninsula-Sulawesi;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vovl
02/11/2024 22:30;0.87;126.56;3.6;12;Northern Molucca Sea;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024voum
02/11/2024 20:45;-0.38;123.27;3.9;5;Minahassa Peninsula-Sulawesi;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vora
02/11/2024 20:07;3.50;96.77;2.3;5;Northern Sumatra-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vopt
02/11/2024 17:54;-9.11;110.53;3.2;5;South of Java-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024volj
02/11/2024 15:52;-0.73;126.70;3.2;5;Southern Molucca Sea;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vohj
02/11/2024 15:14;-0.17;124.99;4.4;5;Southern Molucca Sea;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vogd
02/11/2024 13:35;4.82;124.37;4.1;5;Celebes Sea;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vocw
02/11/2024 13:29;-3.07;128.78;3.6;8;Seram-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vocq
02/11/2024 12:41;-0.22;100.38;3.0;10;Southern Sumatra-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vobb
02/11/2024 10:56;1.47;126.29;2.8;25;Northern Molucca Sea;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vnxp
02/11/2024 10:19;-6.34;103.54;5.0;40;Southwest of Sumatra-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vnwj
02/11/2024 09:34;-10.52;116.36;3.3;17;South of Sumbawa-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vnux
02/11/2024 08:26;-0.26;123.18;2.3;57;Minahassa Peninsula-Sulawesi;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vnsr
02/11/2024 08:06;5.15;127.10;3.3;77;Philippine Islands Region;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vnrz
02/11/2024 07:20;-9.55;117.54;4.6;13;Sumbawa Region-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vnql
02/11/2024 06:47;0.27;122.22;2.6;164;Minahassa Peninsula-Sulawesi;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vnpj
02/11/2024 06:27;21.29;121.00;4.9;44;Taiwan Region;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vnos
02/11/2024 05:03;-17.86;-178.55;5.8;592;Fiji Islands Region;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vnlz
02/11/2024 03:14;-7.04;126.70;4.4;397;Banda Sea;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vnii
01/11/2024 23:00;7.30;125.98;4.7;57;Mindanao-Philippines;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vmzy
01/11/2024 22:16;-1.33;120.54;3.0;5;Sulawesi-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vmyn
